workerid,gender,age,showElmoFirst,showJustInFirst,attentionCheck1,attentionCheck2,reactionTime1,reactionTime2,reactionTime3,happy1,happy2,happyJustIn,happyJustMissed,forcedHappyByOrder
101,M,27,0,0,3,3,5734,3893,10353,4,4,4,4,3
102,M,29,1,0,3,3,11101,5730,11089,4,5,5,4,1
103,F,26,1,1,3,3,7556,4328,9165,4,4,4,4,3
104,M,29,0,1,3,3,5088,6929,23557,4,3,4,3,1
105,M,33,0,0,3,3,9715,8141,3687,4,4,4,4,3
106,F,41,1,0,3,3,10652,4875,17346,3,3,3,3,3
107,F,32,0,1,3,3,13354,4951,13183,4,4,4,4,3
108,M,22,1,0,3,3,13063,5216,18829,3,3,3,3,3
109,M,26,0,0,3,3,9165,9460,14517,4,5,5,4,2
110,M,29,0,1,3,3,9766,4591,9158,5,5,5,5,3
111,F,33,1,0,3,3,8876,5490,10235,4,4,4,4,3
112,M,38,0,0,3,3,8520,4743,23749,3,4,4,3,2
113,M,26,1,1,3,3,7151,4128,13385,4,3,4,3,1
114,M,25,1,0,3,3,11055,6091,35653,4,4,4,4,3
115,M,25,1,0,3,3,6517,4085,5449,4,4,4,4,3
116,M,31,1,1,3,3,12819,6143,21686,4,4,4,4,3
117,F,28,0,0,4,3,75681,6099,20383,4,2,2,4,1
118,F,25,0,1,3,3,9713,4432,16073,5,5,5,5,3
119,M,27,0,1,3,3,8779,5164,25045,4,6,4,6,2
120,M,24,0,0,3,3,11689,6922,119673,3,4,4,3,2
121,M,36,0,0,3,3,13281,10920,19999,3,4,4,3,2
122,M,28,1,1,3,3,13776,5129,27440,5,5,5,5,3
123,M,33,1,0,3,3,14345,16838,13934,3,3,3,3,3
124,M,30,1,1,3,3,7224,4596,33288,4,3,4,3,1
125,F,29,1,0,3,3,9280,7839,34829,4,5,5,4,2
126,M,28,1,1,3,3,8817,14446,12822,4,4,4,4,3
127,F,68,1,0,3,3,30483,21511,56031,4,4,4,4,3
128,M,23,1,1,3,3,7128,5318,16919,5,5,5,5,3
129,M,28,1,1,3,3,28246,9912,53108,4,4,4,4,3
130,F,21,1,1,3,3,8879,5543,29029,4,3,4,3,1
131,F,27,1,0,3,3,6353,2771,26218,5,5,5,5,3
132,M,31,0,1,3,3,28857,7100,12549,4,4,4,4,3
133,M,20,1,0,3,3,4740,58982,5452,4,4,4,4,3
134,M,24,1,0,3,3,8877,3913,15638,4,5,5,4,2
135,M,24,0,0,3,3,11703,6106,16977,5,5,5,5,3
136,F,48,1,1,3,3,11788,7430,23366,4,4,4,4,3
137,M,42,0,1,3,3,12426,7074,22706,4,4,4,4,3
138,M,27,0,1,3,3,15220,4235,65741,4,3,4,3,1
139,M,35,1,0,3,3,16820,9043,42433,4,5,5,4,2
140,F,21,1,0,3,3,7741,6010,25618,4,5,5,4,2
141,M,20,0,0,3,3,32281,6384,57096,3,6,6,3,2
142,M,26,1,1,3,3,6667,3205,244889,6,3,6,3,1
143,M,48,0,1,3,3,15632,7496,50413,4,4,4,4,3
144,M,34,1,0,3,3,14819,10138,93559,4,5,5,4,2
145,M,60,1,1,3,3,10106,5478,62663,6,3,6,3,1
146,F,41,0,0,3,3,13783,5752,22920,5,5,5,5,3
147,F,32,0,0,3,3,6872,4016,25639,6,6,6,6,3
148,M,67,0,1,3,3,15804,34350,22795,4,4,4,4,3
149,M,28,1,1,3,3,6279,3544,11796,4,2,4,2,1
150,F,24,1,1,3,3,5503,3349,16890,4,3,4,3,1
151,F,49,0,0,3,3,34961,25045,36961,3,4,4,3,3
152,F,42,1,0,3,3,163367,6911,10107,4,4,4,4,3
153,M,53,0,0,3,3,12408,21007,57715,4,5,5,4,2
154,M,29,1,0,3,3,14279,141192,20845,3,3,3,3,3
155,M,29,0,1,3,3,11329,9925,78282,5,3,5,3,1
156,M,29,1,0,3,3,10761,265317,16568,5,5,5,5,3
157,F,58,1,1,3,3,12539,6185,28075,4,4,4,4,3
158,M,34,1,0,3,3,15330,5780,22448,4,4,4,4,3
159,M,20,1,1,3,3,9247,8137,73435,4,4,4,4,1
160,M,40,1,1,3,3,10191,8471,53217,6,4,6,4,1
