count,videoclipID,Age,AgeBin,Gender,Condition,ConditionByOrder,LowExpectationChar,HighExpectationChar,NumAttempts,PinsCheck,LaneCheck,TimPins,TimRating,Sampins,SamRating,TimSamFC,CMpins,CMRating,Epins,ERating,Fcraw,LowExpectationRating,HighExpectationRating,FCcorrect,SaidBoth,Include
1,bowling15032601,4.199863107,4,0,1,LowExpectationFirst,Cookie,Elmo,2,na,na,0,1,6,6,Sam,3,2,3,2,Elmo,5,5,0,1,1
2,bowling15032602,5.467488022,5,1,2,HighExpectationFirst,Cookie,Elmo,4,1,1,0,2,6,6,Sam,3,2,3,2,Cookie,5,5,1,1,1
3,bowling15032603,5.275838467,5,1,1,LowExpectationFirst,Cookie,Elmo,3,1,1,0,2,6,6,Sam,3,1,3,1,Cookie,4,4,1,1,1
4,bowling15032604,4.908966461,4,0,2,HighExpectationFirst,Cookie,Elmo,2,1,1,0,na,6,6,Sam,3,na,3,1,Elmo,na,4,0,0,0
5,bowling15032605,4.20807666,4,1,2,HighExpectationFirst,Cookie,Elmo,2,1,1,0,1,6,6,Sam,3,2,3,2,Cookie,5,5,1,1,1
6,bowling15032606,5.338809035,5,0,1,LowExpectationFirst,Cookie,Elmo,3,1,1,0,2,6,6,Sam,3,2,3,3,Elmo,5,6,0,0,1
7,bowling15032607,4.566735113,4,0,2,HighExpectationFirst,Cookie,Elmo,2,1,1,0,1,6,6,Sam,3,3,3,2,Cookie,6,5,1,0,1
8,bowling15032608,4.27652293,4,0,1,LowExpectationFirst,Cookie,Elmo,5,1,0,0,2,6,6,Sam,3,3,3,3,Elmo,6,6,0,0,1
9,bowling15032609,4.424366872,4,0,1,LowExpectationFirst,Cookie,Elmo,4,0,0,0,1,6,6,Sam,3,3,3,3,Cookie,6,6,1,1,1
10,bowling15032701,4.41889117,4,0,2,HighExpectationFirst,Cookie,Elmo,4,0,1,0,2,6,6,Sam,3,2,3,2,Elmo,5,5,0,1,1
11,bowling15032702,5.275838467,5,1,2,HighExpectationFirst,Cookie,Elmo,3,1,1,0,1,6,6,Sam,3,3,3,3,Cookie,6,6,1,0,1
12,bowling15032703,4.336755647,4,1,1,LowExpectationFirst,Cookie,Elmo,5,1,1,0,3,6,6,Sam,3,1,3,1,Elmo,4,4,0,1,1
13,bowling15032704,4.845995893,4,0,1,LowExpectationFirst,Cookie,Elmo,2,1,1,0,2,6,6,Sam,3,-2,3,2,Elmo,2,5,0,1,1
