workerid,gender,age,nativeLanguage,movieName1,movieName2,showJustInFirst,attentionCheck1Halfway,attentionCheck1,attentionCheck2Halfway,attentionCheck2,reactionTime1,reactionTime2,reactionTime3,happyAtPause1,betterAfter1,deltaHappy1,happyAtPause2,betterAfter2,deltaHappy2,happyAtPauseJustIn,betterAfterJustIn,deltaHappyJustIn,happyAtPauseJustMissed,betterAfterJustMissed,deltaHappyJustMissed,forcedHappyByOrder,forcedHappyJustIn
201,F,52,english,Annie_NearMiss_,Sally_JustIn_,0,2,3,0,3,14469,15405,22106,0,1,5,0,1,5,0,1,5,0,1,5,2,1
202,M,24,English,Annie_NearMiss_,Sally_JustIn_,0,3,3,6,3,9619,9278,12563,1,0,4,0,1,6,0,1,6,1,0,4,2,1
203,M,18,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,10411,4627,27559,1,0,5,0,1,7,0,1,7,1,0,5,3,-1
204,M,24,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,2,3,7392,7260,17879,0,1,6,1,0,4,0,1,6,1,0,4,1,1
205,M,22,English,Annie_NearMiss_,Sally_JustIn_,0,1,3,0,3,16889,6099,14416,0,1,6,0,1,6,0,1,6,0,1,6,3,-1
206,M,23,english,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,11000,9568,30019,0,1,6,1,1,6,0,1,6,1,1,6,1,1
207,F,34,english,Annie_NearMiss_,Sally_JustIn_,0,5,3,0,3,16781,8644,12024,1,0,4,0,1,5,0,1,5,1,0,4,3,-1
208,M,30,english,Annie_NearMiss_,Sally_JustIn_,0,4,3,0,3,10471,9017,12056,1,0,5,0,1,8,0,1,8,1,0,5,2,1
209,M,31,English,Annie_NearMiss_,Sally_JustIn_,0,5,3,0,3,12374,7627,82045,1,0,4,0,1,7,0,1,7,1,0,4,2,1
210,M,26,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,10272,6002,20706,0,1,8,1,0,4,0,1,8,1,0,4,1,1
211,F,24,English,Annie_NearMiss_,Sally_JustIn_,0,3,3,2,3,37134,10819,33647,1,0,4,0,1,5,0,1,5,1,0,4,2,1
212,M,34,english,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,26458,29125,72355,1,0,3,0,1,7,0,1,7,1,0,3,2,1
213,F,54,ENGLISH,Annie_JustIn_,Sally_NearMiss_,1,0,3,3,3,24521,27764,30787,0,1,6,1,1,6,0,1,6,1,1,6,3,-1
214,M,44,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,15295,8303,74938,1,0,4,0,1,7,0,1,7,1,0,4,2,1
215,F,35,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,4,3,25470,16845,25386,0,1,6,1,0,5,0,1,6,1,0,5,3,-1
216,M,27,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,14504,8821,72679,1,0,3,0,1,6,0,1,6,1,0,3,2,1
217,M,23,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,6992,8293,12554,0,1,7,1,0,4,0,1,7,1,0,4,1,1
218,F,45,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,20701,14131,51854,0,1,7,1,0,5,0,1,7,1,0,5,1,1
219,F,34,english,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,11802,9104,18216,0,1,7,1,0,4,0,1,7,1,0,4,1,1
220,F,31,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,10354,6537,17407,0,1,6,1,0,5,0,1,6,1,0,5,3,-1
221,M,36,English,Annie_JustIn_,Sally_NearMiss_,1,6,3,6,3,22883,11709,74435,0,1,6,1,1,6,0,1,6,1,1,6,3,-1
222,F,50,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,23051,23520,112424,0,1,6,1,0,5,0,1,6,1,0,5,1,1
223,M,18,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,5,3,10779,7435,4409,0,1,6,1,0,5,0,1,6,1,0,5,3,-1
224,M,24,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,7285,7907,14601,0,1,6,1,0,5,0,1,6,1,0,5,1,1
225,M,21,english,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,9596,5788,16889,0,1,6,1,0,5,0,1,6,1,0,5,3,-1
226,F,51,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,14215,10191,49307,1,0,3,0,1,7,0,1,7,1,0,3,2,1
227,F,34,English,Annie_NearMiss_,Sally_JustIn_,0,4,3,0,3,20092,10891,35089,1,0,4,0,1,6,0,1,6,1,0,4,2,1
228,F,29,English,Annie_NearMiss_,Sally_JustIn_,0,4,3,0,3,32422,18881,91968,1,0,5,0,1,7,0,1,7,1,0,5,2,1
229,M,33,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,5,3,9458,8089,18369,0,1,7,1,1,6,0,1,7,1,1,6,1,1
230,F,64,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,24565,12943,44356,1,0,5,0,1,6,0,1,6,1,0,5,2,1
231,F,31,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,16560,15784,26172,0,1,7,1,1,6,0,1,7,1,1,6,3,-1
232,F,25,English,Annie_NearMiss_,Sally_JustIn_,0,4,3,0,3,13936,10155,38196,1,0,5,0,1,8,0,1,8,1,0,5,2,1
233,M,27,English,Annie_JustIn_,Sally_NearMiss_,1,3,3,5,3,15005,8237,42707,0,1,6,1,0,3,0,1,6,1,0,3,1,1
234,F,43,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,16955,9570,40333,1,0,4,0,1,6,0,1,6,1,0,4,3,-1
235,M,22,ENGLISH,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,9241,9647,8858,0,1,6,1,0,5,0,1,6,1,0,5,1,1
236,F,20,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,4,3,15104,9680,62364,0,1,6,1,1,6,0,1,6,1,1,6,1,1
237,M,41,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,3,3,17792,24135,266845,0,1,7,1,0,5,0,1,7,1,0,5,3,-1
238,F,26,English,Annie_NearMiss_,Sally_JustIn_,0,5,3,0,3,17774,9672,31324,1,0,4,0,1,8,0,1,8,1,0,4,2,1
239,F,38,english,Annie_NearMiss_,Sally_JustIn_,0,4,0,0,0,20735,13807,16935,1,0,3,0,0,1,0,0,1,1,0,3,3,-1
240,M,41,english,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,33378,20926,45537,0,1,5,1,0,4,0,1,5,1,0,4,3,-1
241,F,24,English,Annie_NearMiss_,Sally_JustIn_,0,4,3,0,3,17971,9781,23804,1,1,6,0,1,6,0,1,6,1,1,6,3,-1
242,F,44,english,Annie_JustIn_,Sally_NearMiss_,1,0,3,5,3,14050,17058,58129,0,1,8,1,0,5,0,1,8,1,0,5,1,1
243,F,22,english,Annie_NearMiss_,Sally_JustIn_,0,5,3,1,3,18096,9754,17210,1,0,4,0,1,4,0,1,4,1,0,4,3,-1
244,M,30,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,13281,6584,26868,0,1,5,1,0,5,0,1,5,1,0,5,1,1
245,F,36,english,Annie_JustIn_,Sally_NearMiss_,1,3,3,5,3,13173,9420,13955,1,1,7,1,0,4,1,1,7,1,0,4,1,1
246,F,28,english,Annie_JustIn_,Sally_NearMiss_,1,0,3,3,3,11610,7212,26289,0,1,6,1,1,6,0,1,6,1,1,6,3,-1
247,M,25,English,Annie_NearMiss_,Sally_JustIn_,0,5,3,0,3,11231,9409,25769,1,0,4,0,1,7,0,1,7,1,0,4,2,1
248,F,26,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,14550,9121,48787,0,1,6,1,0,6,0,1,6,1,0,6,1,1
249,M,29,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,5,3,10119,6698,5299,0,1,6,1,0,5,0,1,6,1,0,5,1,1
250,F,47,English,Annie_NearMiss_,Sally_JustIn_,0,3,3,0,3,16145,7798,22601,1,1,5,0,1,8,0,1,8,1,1,5,2,1
251,F,50,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,8898,9424,66050,0,1,8,1,0,5,0,1,8,1,0,5,1,1
252,F,44,english,Annie_JustIn_,Sally_NearMiss_,1,3,0,6,0,27959,12891,25642,0,0,3,1,0,3,0,0,3,1,0,3,3,-1
253,F,38,Tagalog,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,13778,14499,32839,1,0,4,0,1,6,0,1,6,1,0,4,2,1
254,F,29,english,Annie_JustIn_,Sally_NearMiss_,1,3,3,4,3,13834,14898,40384,0,1,6,1,1,5,0,1,6,1,1,5,1,1
255,M,27,English,Annie_NearMiss_,Sally_JustIn_,0,4,3,0,3,12621,6929,29297,1,0,5,0,1,7,0,1,7,1,0,5,2,1
256,F,49,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,10,3,52551,23956,43599,0,1,3,1,0,3,0,1,3,1,0,3,1,1
257,F,43,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,17083,14456,104292,1,0,3,0,1,6,0,1,6,1,0,3,2,1
258,F,29,malay,Annie_JustIn_,Sally_NearMiss_,1,1,3,5,3,16034,14853,54569,0,1,6,1,0,4,0,1,6,1,0,4,1,1
259,M,33,English,Annie_NearMiss_,Sally_JustIn_,0,6,3,0,3,9882,6348,10830,1,0,4,0,1,6,0,1,6,1,0,4,2,1
260,F,24,English,Annie_JustIn_,Sally_NearMiss_,1,0,3,6,3,7355,6884,61634,0,1,6,1,0,4,0,1,6,1,0,4,1,1
