count,experimenter,videoclip_ID,Age,AgeBin,Gender,Condition,NearMissChar,JustInChar,ConditionOrder,HappyFirst,Num_Attempts,Pins_Check,GrayArea_Check,Tim_pins,TimRating,Sam_pins,SamRating,Tim_OR_Sam,explanation,1_emotion_prediction,1_pins_actual,1_BW,1_BWrating,2_emotion_prediction,2_pins_actual,2_BW,2_BWrating,2_Why,2_BeliefRecall,FC_ExperimenterQuestion,FC,FC_why,Said_Both,HighExpectationInitVerbal,HighExpectationInit,HighExpectationBW,HighExpectationRating,HighExpectationRelative,LowExpectationInitVerbal,LowExpectationInit,LowExpectationBW,LowExpectationRating,LowExpectationRelative,FC_Correct,MovedCharacter,Char_InitEmotion_Correct,Experimenter_Error,Pilot
1,andrew,Bowling3_150602_01,4.76,4,1,1,Annie,Sally,NearMiss_First,1,6,1,1,1,0,1,1,1,Because he knocked down all of the pins,happy,1,0,2,sad,1,1,7,NA,,Annie_Sally,Annie,don't know,1,happy,6,0,2,-4,sad,3,1,7,4,0,1,1,1,0
2,andrew,Bowling3_150604_01,5.03,5,0,2,Annie,Sally,JustIn_First,0,4,1,1,1,0,1,1,1,Because he knocked.. Because he's better than him.. He's better than him,sad,1,1,6,sad,1,0,3,NA,,Sally_Annie,Annie,"""b/c she knocked down 3 and she likes 3""",0,sad,3,0,3,0,sad,3,1,6,3,0,0,0,1,0
3,andrew,Bowling3_150604_02,5.29,5,1,3,Sally,Annie,NearMiss_First,1,5,1,1,1,0,NA (forgot to ask),1,1,Because he knocked down all of them,happy,1,0,3,sad,1,1,7,NA,,Sally_Annie,Annie,"""just b/c""",1,happy,6,0,3,-3,sad,3,1,7,4,1,1,1,1,0
4,andrew,Bowling3_150604_03,4.02,4,0,4,Sally,Annie,JustIn_First,0,8,1,1,1,0,1,1,1,Becaused he knocked down all of the pins,sad,NA (forgot to ask),0,3,happy,1,1,6,NA,,Annie_Sally,Annie,"""b/c she knocked down all the cones""",0,happy,6,1,6,0,sad,3,0,3,0,1,0,1,1,0
5,andrew,Bowling3_150604_04,5.27,5,1,1,Annie,Sally,NearMiss_First,1,6,1,1,1,0,1,1,1,because he knocked all of them down just like me,happy,1,1,6,sad,1,1,8,NA,,Annie_Sally,Annie,"""b/c she knocked some down""",0,happy,6,1,6,0,sad,3,1,8,5,0,0,1,1,0
6,andrew,Bowling3_150609_01,4.76,4,0,1,Annie,Sally,NearMiss_First,0,2,1,1,1,0,1,1,1,because he knocked down all of the pins,happy,1,0,5,sad,1,1,4,because she knocked down three,,Annie_Sally,Annie,"""b/c she knocked down 3",0,happy,6,0,5,-1,sad,3,1,4,1,0,1,1,1,0
7,andrew,Bowling3_150609_02,5.57,5,0,2,Annie,Sally,JustIn_First,1,3,1,1,1,0,1,1,1,because he knocked down all of the pins,sad,1,1,5,happy,1,1,7,,,Sally_Annie,Sally,"""b/c she knocked down 3",0,happy,6,1,7,1,sad,3,1,5,2,1,1,1,1,0
8,mika,Bowling3_150617_01,4.9,4,1,3,Sally,Annie,NearMiss_First,1,1,1,1,1,0,1,1,1,because he knocked all of the pins down,sad,1,1,6,sad,1,1,6,,,Annie_Sally,Annie,not sure,0,sad,3,1,6,3,sad,3,1,6,3,1,1,0,1,0
9,mika,Bowling3_150617_02,4.31,4,1,2,Annie,Sally,JustIn_First,0,3,1,1,1,0,1,1,1,because he's happier,sad,1,1,6,happy,1,0,3,,,Sally_Annie,Annie,"""b/c she's really happier""",0,happy,6,0,3,-3,sad,3,1,6,3,0,1,1,1,0
10,mika,Bowling3_150617_03,4.11,4,1,4,Sally,Annie,JustIn_First,1,5,1,1,1,0,1,1,1,because he threw it all the way up,sad,1,1,6,sad,1,1,6,,,Annie_Sally,Annie,"""b/c she knocked down a  lot""",0,sad,3,1,6,3,sad,3,1,6,3,1,1,0,1,0
